TID,EN,CN,JA,KO,RU,FR,DE,ES,IT,PT,TW
TID_TIPS_26,,您可以在设置中改变语言设置,設定に言語設定を変える,,,,,,,,
TID_TIPS_27,,艳后的治愈法阵可以同时治愈周围的友军,女王の治癒方陣は周りの友軍を同時に癒す,,,,,,,,
TID_TIPS_28,,恶魔猎手的攻击强化可以同时强化周围的友军,デビルハンターの攻撃強化は周りの友軍を同時に強化する,,,,,,,,
TID_TIPS_29,,蓝宝石的数量体现你的实力，实力的高低决定你能遇到的其它玩家实力,サファイアの数量はあなたの実力を表している、実力の程度は出会えるほかのゲーマーの実力を決まっている,,,,,,,,
TID_TIPS_30,,记得查看战斗记录，领取您的钻石,戦闘記録を見てください、あなたのダイヤモンドを貰える,,,,,,,,
TID_TIPS_31,,可以同时使用多个料理，但同类料理的效果不会叠加,多数の料理を同時に使える、でも同類の料理の効果は倍にならない,,,,,,,,
TID_TIPS_32,,已经获得高级料理效果的时候，无法使用同类低级别的料理,高級料理効果を獲得すると、同類低レベルの料理を使えない,,,,,,,,
TID_TIPS_33,,营地升级后，需要通过特殊关卡才能解锁相应的战士,兵営レベルアップ後、特殊なステージを通過しないと関する兵士を解錠できない,,,,,,,,
TID_TIPS_34,,邮件中的奖励如果没有拾取在30天后将被删除,メールの奨励は３０日以内に取れないと削除される,,,,,,,,
TID_TIPS_35,,普通邮件阅后即焚,普通のメールは読むとすぐ消える,,,,,,,,
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,,连接丢失,,,,,,,,
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,,另一设备正在登录游戏,,,,,,,,
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,,重新加载,,,,,,,,
TID_MSG_POP_UP_BIND_SOCIAL_TITLE,,绑定Game Center,,,,,,,,
TID_MSG_POP_UP_BIND_SOCIAL_CONTENT,,您是否希望将游戏账号与Game Center进行绑定？绑定可以更好的保护您的游戏账号。,,,,,,,,
TID_MSG_POP_UP_BIND_SOCIAL_BTN,,绑定,,,,,,,,
TID_MSG_POP_UP_BINK_SOCIAL_ANOTHER,,您的Game Center绑定了{?}的{?}级主城，您是否要加载此游戏账号？,,,,,,,,
TID_MSG_POP_UP_BINK_SOCIAL_ANOTHER_BTN,,加载,,,,,,,,
TID_MSG_POP_UP_BIND_SOCIAL_CANCEL_BTN,,取消,,,,,,,,
